query_index;facts_file;extracted_case_count;task;case_study_type;case_study;online_offline;input_for_model;input_type;normalization_notes;normalized_task;normalized_case_study_type;normalized_case_study;normalized_online_offline;normalized_input_for_model;normalized_input_type;top_k;pool_size
1481;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6b203fabc136.ttl;1;Fault identification;Maintainable item;Robotic arm;Unknown synchronization;Not reported;PCA, FactsvoltageVariable_8, wearable inertial sensor data;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault identification;;Robotic arm;;;PCA, FactsvoltageVariable_8, wearable inertial sensor data;5;15
1482;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6b8545b78ee4.ttl;1;Remaining useful life estimation;Maintainable item;nuclear power plant equipment;Unknown synchronization;Not reported;flow, FactsmlCsnn, pressure, temperature, vibration;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;nuclear power plant equipment;;;flow, FactsmlCsnn, pressure, temperature, vibration;5;15
1483;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6b9efd7a0165.ttl;1;Health assessment;Maintainable item;continuous damping control damper;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;Health assessment;;continuous damping control damper;;;;5;15
1484;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6bce914faee8.ttl;1;Fault detection;Maintainable item;medium-voltage switchgear;Unknown synchronization;Not reported;current, temperature measurement, FactstemperatureReadings;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;medium-voltage switchgear;;;current, temperature measurement, FactstemperatureReadings;5;15
1485;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6ca4f84c1511.ttl;1;Fault identification;Maintainable item;industrial rolling bearing;Unknown synchronization;Not reported;vibrational data;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault identification;;industrial rolling bearing;;;vibrational data;5;15
1486;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6cb8aede6e57.ttl;1;Remaining useful life estimation;Maintainable item;turbofan engine;Unknown synchronization;Not reported;equipment health state, sensor data;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;turbofan engine;;;equipment health state, sensor data;5;15
1487;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6d246defadfc.ttl;1;Fault detection;Maintainable item;bolted flange joint;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;Fault detection;;bolted flange joint;;;;5;15
1488;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6d3bfcb2d45a.ttl;2;Fault detection;Maintainable item;industrial steam system;Unknown synchronization;Not reported;asset data, steam trap inlet temperature, IoT sensor data, operational parameters, public holiday calendars, statistical time-series features, weather information;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;industrial steam system;;;asset data, steam trap inlet temperature, IoT sensor data, operational parameters, public holiday calendars, statistical time-series features, weather information;5;15
1489;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6da34c123972.ttl;1;Fault detection;Maintainable item;power grid;Unknown synchronization;Not reported;meteorological data, meteorological monitoring data;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;power grid;;;meteorological data, meteorological monitoring data;5;15
1490;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6e448e9baa63.ttl;2;One step future state forecast;Maintainable item;turbine;Unknown synchronization;Not reported;pressure, Factshead, FactsinletPressure;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;One step future state forecast;;turbine;;;pressure, Factshead, FactsinletPressure;5;15
1491;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6ef0b30b64e0.ttl;1;Fault detection;Maintainable item;drive train;Unknown synchronization;Not reported;frequency spectra, statistical variables, vibration sensor;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;drive train;;;frequency spectra, statistical variables, vibration sensor;5;15
1492;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6f04f92f41f4.ttl;1;Fault detection;Maintainable item;Electric locomotive bearing;Unknown synchronization;Not reported;FactsspeedVariable;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: FactsspeedVariable;Fault detection;;Electric locomotive bearing;;;;5;15
1493;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6f5202a005cf.ttl;1;Fault detection;Maintainable item;clinical chemistry analyser;Unknown synchronization;Not reported;sensor data from sensors present in a CT machine, wavelet coefficients;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;clinical chemistry analyser;;;sensor data from sensors present in a CT machine, wavelet coefficients;5;15
1494;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6f8237fb1105.ttl;1;Fault detection;Maintainable item;bearing;Unknown synchronization;Not reported;motor load information, pressure, sensor data, temperature, vibration;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;bearing;;;motor load information, pressure, sensor data, temperature, vibration;5;15
1495;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_70c78d1f7d9d.ttl;1;Health assessment;Maintainable item;aircraft;Unknown synchronization;Not reported;Sensor signals;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Health assessment;;aircraft;;;Sensor signals;5;15
1496;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_7145880fa0ec.ttl;1;Fault detection;Maintainable item;PV module;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;Fault detection;;PV module;;;;5;15
1497;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_7154c2f15adf.ttl;1;Fault detection;Maintainable item;transformer;Unknown synchronization;Not reported;image-based features from FRA polar plots, numerical features from FRA traces;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;transformer;;;image-based features from FRA polar plots, numerical features from FRA traces;5;15
1498;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_71eaf3887b66.ttl;2;One step future state forecast;Maintainable item;complex system;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;One step future state forecast;;complex system;;;;5;15
1499;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_72449a959f3c.ttl;1;Fault detection;Maintainable item;compensating reactors;Unknown synchronization;Not reported;environmental parameters, external stress conditions, productivity, soil temperature, waterproof and dustproof grade;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;compensating reactors;;;environmental parameters, external stress conditions, productivity, soil temperature, waterproof and dustproof grade;5;15
1500;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_7341cad185f7.ttl;1;Fault detection;Maintainable item;Asynchronous AC electric motor;Unknown synchronization;Not reported;FactsactiveElectricalPowerSignal, FactsgearboxVibrationSignal, FactsoutputSpindleAngularSpeedSignal;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;Asynchronous AC electric motor;;;FactsactiveElectricalPowerSignal, FactsgearboxVibrationSignal, FactsoutputSpindleAngularSpeedSignal;5;15
1501;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_739f1a2257d6.ttl;1;Remaining useful life estimation;Maintainable item;thyristor;Unknown synchronization;Not reported;Qr charge difference, first degradation indicator, VT forward voltage, reverse recovery charge (Qr), thyristor degradation process;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;thyristor;;;Qr charge difference, first degradation indicator, VT forward voltage, reverse recovery charge (Qr), thyristor degradation process;5;15
1502;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_742569db1b34.ttl;3;Fault identification;Maintainable item;electrical insulation system;Unknown synchronization;Not reported;FactsoptimizedPdFeaturesDataVariable, FactspartialDischargeDataVariable, PD amplitude q;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault identification;;electrical insulation system;;;FactsoptimizedPdFeaturesDataVariable, FactspartialDischargeDataVariable, PD amplitude q;5;15
1503;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_75e741edf08b.ttl;1;One step future state forecast;Maintainable item;roller;Unknown synchronization;Not reported;condition parameter;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;One step future state forecast;;roller;;;condition parameter;5;15
1504;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_7601be1727eb.ttl;1;Fault detection;Maintainable item;servomotor bearings;Unknown synchronization;Not reported;characterised disturbances, input data;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;servomotor bearings;;;characterised disturbances, input data;5;15
1505;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_764d62b539a9.ttl;2;Fault detection;Maintainable item;die;Unknown synchronization;Not reported;ram tilt, die surface temperature, forming force, forming result assessment, FactsramTilt;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;die;;;ram tilt, die surface temperature, forming force, forming result assessment, FactsramTilt;5;15
1506;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_774f6a062fc1.ttl;1;Fault detection;Maintainable item;synchronous condenser;Unknown synchronization;Not reported;thermal data;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;synchronous condenser;;;thermal data;5;15
1507;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_77c48f15a97b.ttl;1;Fault detection;Maintainable item;bearing fault detection;Unknown synchronization;Not reported;amplitude changes, bearing, fault severity, load, raw time-domain data, speed, vibration signals;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;bearing fault detection;;;amplitude changes, bearing, fault severity, load, raw time-domain data, speed, vibration signals;5;15
1508;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_79e539b9907e.ttl;1;Fault detection;Maintainable item;FactsdoorLockFault;Unknown synchronization;Not reported;Acceleration, Frequency, running speed, current;case-study type dropped: Maintainable item | case study dropped: FactsdoorLockFault | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;;;;Acceleration, Frequency, running speed, current;5;15
1509;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_7af20d9d3082.ttl;2;Fault feature extraction;Maintainable item;bearings;Unknown synchronization;Not reported;sensing;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault feature extraction;;bearings;;;sensing;5;15
1510;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_7b45e17c92d7.ttl;1;Fault detection;Maintainable item;rotating machinery;Unknown synchronization;Not reported;FactssignalEnvelopes;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: FactssignalEnvelopes;Fault detection;;rotating machinery;;;;5;15
1511;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_7dcef0231e6b.ttl;1;Fault detection;Maintainable item;turbofan engine;Unknown synchronization;Not reported;individual sensor feature;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;turbofan engine;;;individual sensor feature;5;15
1512;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_7e210743000f.ttl;2;Fault identification;Maintainable item;bearing seat;Unknown synchronization;Not reported;transformer, one-dimensional vibration signal, time-domain energy entropy values, vibration frequency;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault identification;;bearing seat;;;transformer, one-dimensional vibration signal, time-domain energy entropy values, vibration frequency;5;15
1513;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_7fdad9a52dc6.ttl;1;Fault identification;Maintainable item;Retrofitted five-axis computer numerical control machine;Unknown synchronization;Not reported;power consumption data, operational sequences, vibration data;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault identification;;Retrofitted five-axis computer numerical control machine;;;power consumption data, operational sequences, vibration data;5;15
1514;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_800ab1cc29a2.ttl;1;Health assessment;Maintainable item;hydraulic system 1;Unknown synchronization;Not reported;real-time sensor data, Factsdegradation1, FactspumpSpeedVariable;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Health assessment;;hydraulic system 1;;;real-time sensor data, Factsdegradation1, FactspumpSpeedVariable;5;15
1515;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_80fd96cc9371.ttl;2;Fault detection;Maintainable item;wind turbine;Unknown synchronization;Not reported;standard geomagnetic field, high-frequency magnetometer data, nacelle wind speed, normal behaviour data, rotor rotations per minute measurements, rotor speed, supervisory control and data acquisition data, SCADA measurements, yaw angle;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;wind turbine;;;standard geomagnetic field, high-frequency magnetometer data, nacelle wind speed, normal behaviour data, rotor rotations per minute measurements, rotor speed, supervisory control and data acquisition data, SCADA measurements, yaw angle;5;15
1516;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_8145db8d38ec.ttl;1;Fault detection;Maintainable item;industrial equipment;Unknown synchronization;Not reported;Equipment operational data, Fault thresholds, Prediction residuals;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;industrial equipment;;;Equipment operational data, Fault thresholds, Prediction residuals;5;15
1517;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_81d93d178930.ttl;1;Remaining useful life estimation;Maintainable item;engine performance monitoring;Unknown synchronization;Not reported;engine parameters, fault data, normal operational data, on-board OBD system data, sensor data, vehicle diagnostics, vehicle logs;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;engine performance monitoring;;;engine parameters, fault data, normal operational data, on-board OBD system data, sensor data, vehicle diagnostics, vehicle logs;5;15
1518;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_8313c9633a46.ttl;1;Fault detection;Maintainable item;aero-engine bearing;Unknown synchronization;Not reported;acoustic data, thermal data, time-frequency representation (TFR), vibration signal, fault feature;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;aero-engine bearing;;;acoustic data, thermal data, time-frequency representation (TFR), vibration signal, fault feature;5;15
1519;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_83aca1cd40c5.ttl;2;Fault detection;Maintainable item;aircraft engine;Unknown synchronization;Not reported;sensor signal;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;aircraft engine;;;sensor signal;5;15
1520;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_84118bc90a2e.ttl;1;Fault detection;Maintainable item;DC microgrid;Unknown synchronization;Not reported;AC power compatible with grid integration and end-user consumption, DC power generated by renewable energy sources, power signals of DC microgrid inverters;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;DC microgrid;;;AC power compatible with grid integration and end-user consumption, DC power generated by renewable energy sources, power signals of DC microgrid inverters;5;15
1521;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_846e4da09ef1.ttl;1;Fault detection;Maintainable item;packaging machine;Unknown synchronization;Maintenance work order;Machine alarms, Real-time machine data;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Maintenance work order;Fault detection;;packaging machine;;;Machine alarms, Real-time machine data;5;15
1522;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_85052b5fde74.ttl;3;Fault identification;Maintainable item;conveyor trough;Unknown synchronization;Not reported;axial force, bolt working condition, pre-tightening force, rotation angle, sensor information, ultrasonic wave propagation, vibration signal;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault identification;;conveyor trough;;;axial force, bolt working condition, pre-tightening force, rotation angle, sensor information, ultrasonic wave propagation, vibration signal;5;15
1523;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_854f9525f7c2.ttl;1;Health assessment;Maintainable item;rolling bearing;Unknown synchronization;Not reported;health status data, parameter data, reconstruction error;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Health assessment;;rolling bearing;;;health status data, parameter data, reconstruction error;5;15
1524;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_8558c8b8a2da.ttl;1;Remaining useful life estimation;Maintainable item;turbine engine;Unknown synchronization;Not reported;C-MAPSS, sensor data;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;turbine engine;;;C-MAPSS, sensor data;5;15
1525;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_85fbda59e3ca.ttl;2;Fault detection;Maintainable item;induction motor;Unknown synchronization;Not reported;infrared images of an intact water-cooled electric machine, FactsinfraredRadiation, FactsmachineSpeed;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;induction motor;;;infrared images of an intact water-cooled electric machine, FactsinfraredRadiation, FactsmachineSpeed;5;15
1526;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_8621a17b378c.ttl;1;Fault feature extraction;Maintainable item;faulty component;Unknown synchronization;Not reported;data noise, long-term storage state, missing data, multi-modal interference, vibration signals;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault feature extraction;;faulty component;;;data noise, long-term storage state, missing data, multi-modal interference, vibration signals;5;15
1527;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_8699c9dda289.ttl;1;Fault detection;Maintainable item;rotor;Unknown synchronization;Not reported;fluorescence lifetime, Rated power, rotor temperature;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;rotor;;;fluorescence lifetime, Rated power, rotor temperature;5;15
1528;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_874a0e0b2027.ttl;1;Remaining useful life estimation;Maintainable item;aircraft engine propeller;Unknown synchronization;Not reported;degradation performance, First performance index;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;aircraft engine propeller;;;degradation performance, First performance index;5;15
1529;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_87f23e08e1f1.ttl;1;Fault detection;Maintainable item;Not reported;Unknown synchronization;Not reported;data streams, high-dimensional input spaces;case-study type dropped: Maintainable item | case study dropped: Not reported | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;;;;data streams, high-dimensional input spaces;5;15
1530;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_88b06e430dd2.ttl;1;Fault detection;Maintainable item;axial piston pump;Unknown synchronization;Not reported;flow, pressure, temperature, vibration;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;axial piston pump;;;flow, pressure, temperature, vibration;5;15
1531;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_892f9ff654a7.ttl;1;Remaining useful life estimation;Maintainable item;angular contact ball bearing;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;Remaining useful life estimation;;angular contact ball bearing;;;;5;15
1532;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_89c528ad5243.ttl;1;Fault detection;Maintainable item;Embosser component;Unknown synchronization;Not reported;Feature selection, Normalisation, Time-series data collected from the embosser component, Time-series transformation;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;Embosser component;;;Feature selection, Normalisation, Time-series data collected from the embosser component, Time-series transformation;5;15
1533;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_89e8038cd325.ttl;1;Health assessment;Maintainable item;connected machines;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;Health assessment;;connected machines;;;;5;15
1534;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_8ac05466939c.ttl;1;Fault feature extraction;Maintainable item;rolling bearing;Unknown synchronization;Not reported;linear prediction coefficient, signal frame, NN;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault feature extraction;;rolling bearing;;;linear prediction coefficient, signal frame, NN;5;15
1535;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_8ad1ddeb43e5.ttl;1;Remaining useful life estimation;Maintainable item;Industrial system;Unknown synchronization;Not reported;FactsvariableDischargeTime, FactsvariableVoltage;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;Industrial system;;;FactsvariableDischargeTime, FactsvariableVoltage;5;15
1536;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_8b7895e3d200.ttl;1;Fault detection;Maintainable item;Factsgearbox_7;Unknown synchronization;Not reported;SCADA data, FactsscadaData_6;case-study type dropped: Maintainable item | case study dropped: Factsgearbox_7 | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;;;;SCADA data, FactsscadaData_6;5;15
1537;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_8c1ece5d3ef1.ttl;1;Health assessment;Maintainable item;engine turbine;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;Health assessment;;engine turbine;;;;5;15
1538;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_8d30ba7f5b7b.ttl;2;Health assessment;Maintainable item;cutting tool;Unknown synchronization;Dry-cutting turning of steel bars;acoustic emission signal, force, multi-channel hybrid information, tri-axial cutting force, tri-axial vibration;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Dry-cutting turning of steel bars;Health assessment;;cutting tool;;;acoustic emission signal, force, multi-channel hybrid information, tri-axial cutting force, tri-axial vibration;5;15
1539;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_8d35672305df.ttl;1;Fault detection;Maintainable item;resistive sensors;Unknown synchronization;Not reported;engine load, engine torque, feeding rate, forward speed, loss rate, predicted fault status, reel height, threshing drum speed;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;resistive sensors;;;engine load, engine torque, feeding rate, forward speed, loss rate, predicted fault status, reel height, threshing drum speed;5;15
1540;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_8d8b1b0aa7e4.ttl;1;Health assessment;Maintainable item;IoT-WHRS;Unknown synchronization;Not reported;Seebeck coefficient, Thermal resistivity;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Health assessment;;IoT-WHRS;;;Seebeck coefficient, Thermal resistivity;5;15
1541;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_8e2fb5424178.ttl;2;Health assessment;Maintainable item;rotor turbine;Unknown synchronization;Not reported;modal parameters, speed, trial weights, unbalance mass;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Health assessment;;rotor turbine;;;modal parameters, speed, trial weights, unbalance mass;5;15
1542;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_8e9b4e4896e7.ttl;1;Health assessment;Maintainable item;power cable;Unknown synchronization;Not reported;aging coefficient, elongation, tensile strength;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Health assessment;;power cable;;;aging coefficient, elongation, tensile strength;5;15
1543;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_8f8e35756c95.ttl;1;Remaining useful life estimation;Maintainable item;sensor node;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;Remaining useful life estimation;;sensor node;;;;5;15
1544;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_90046e067fc5.ttl;1;Remaining useful life estimation;Maintainable item;machine;Unknown synchronization;Not reported;condition-indicating variable, selected parameters;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;machine;;;condition-indicating variable, selected parameters;5;15
1545;extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_91405671917c.ttl;1;Remaining useful life estimation;Maintainable item;sensors;Unknown synchronization;Not reported;sensor signals, spatiotemporal knowledge graph;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;sensors;;;sensor signals, spatiotemporal knowledge graph;5;15
